auction,team,seed,region,ev,max_bid,price_paid,share,pot_size,payout_r64,payout_r32,payout_s16,payout_e8,payout_f4,payout_champ
Jay 2026,Nebraska,4,SOUTH,314,267,168,0.5,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Virginia,3,MIDWEST,380,323,287,0.5,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Saint Mary's,7,SOUTH,147,125,72,0.5,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,North Carolina,6,SOUTH,160,136,98,1.0,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Clemson,8,SOUTH,101,86,49,0.5,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Villanova,8,WEST,107,91,55,1.0,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Wisconsin,5,WEST,219,186,172,0.5,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,TCU,9,EAST,89,76,60,1.0,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
Jay 2026,Georgia,8,MIDWEST,113,96,91,1.0,11281,0.0075,0.0134,0.0225,0.035,0.0525,0.07
